               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/rov_mAP,   metrics/plant_mAP,metrics/animal_fish_mAP,metrics/animal_starfish_mAP,metrics/animal_shells_mAP,metrics/animal_crabh_mAP,metrics/animal_eel_mAP,metrics/animal_etc_mAP,metrics/trash_clothing_mAP,metrics/trash_pipe_mAP,metrics/trash_bottle_mAP,metrics/trash_bag_mAP,metrics/trash_snack_wrapper_mAP,metrics/trash_can_mAP,metrics/trash_cup_mAP,metrics/trash_container_mAP,metrics/trash_unknown_instance_mAP,metrics/trash_branch_mAP,metrics/trash_wreckage_mAP,metrics/trash_tarp_mAP,metrics/trash_rope_mAP,metrics/trash_net_mAP,  metrics/rov_mAP_50,metrics/plant_mAP_50,metrics/animal_fish_mAP_50,metrics/animal_starfish_mAP_50,metrics/animal_shells_mAP_50,metrics/animal_crabh_mAP_50,metrics/animal_eel_mAP_50,metrics/animal_etc_mAP_50,metrics/trash_clothing_mAP_50,metrics/trash_pipe_mAP_50,metrics/trash_bottle_mAP_50,metrics/trash_bag_mAP_50,metrics/trash_snack_wrapper_mAP_50,metrics/trash_can_mAP_50,metrics/trash_cup_mAP_50,metrics/trash_container_mAP_50,metrics/trash_unknown_instance_mAP_50,metrics/trash_branch_mAP_50,metrics/trash_wreckage_mAP_50,metrics/trash_tarp_mAP_50,metrics/trash_rope_mAP_50,metrics/trash_net_mAP_50
                  20,            0.041971,            0.013077,            0.040428,             0.58873,             0.12718,             0.11613,            0.057068,            0.051881,            0.022766,            0.049547,            0.009373,            0.009373,            0.009373,             0.38202,             0.01494,           0.0072112,           0.0057272,           0.0035295,           0.0030644,             0.11436,           0.0023782,           0.0080907,             0.13412,            0.004804,             0.03037,            0.014225,            0.019902,            0.015878,              0.1567,            0.080944,             0.10853,             0.13963,           0.0026095,            0.005543,          0.00092047,             0.62217,            0.041971,            0.018229,             0.01685,           0.0079745,            0.008956,             0.25868,           0.0058477,            0.013296,             0.34605,           0.0065659,            0.067647,            0.023481,            0.043474,            0.031325,             0.24646,             0.19746,             0.19241,             0.38172,           0.0068554,            0.015887,           0.0014668
                  21,            0.042553,            0.013019,            0.040137,             0.53302,             0.10379,             0.11161,             0.05819,            0.057719,            0.025179,            0.051203,             0.00934,             0.00934,             0.00934,             0.33263,           0.0079275,           0.0025577,           0.0021742,           0.0010305,           0.0075381,            0.068354,            0.001683,           0.0050743,             0.11839,           0.0049485,            0.033474,           0.0084568,            0.081821,           0.0062066,             0.32401,             0.03275,            0.075767,             0.11907,           0.0010771,            0.044373,          0.00087375,             0.52644,            0.023796,           0.0068371,           0.0059441,           0.0029144,            0.024103,             0.17609,           0.0041054,           0.0077178,              0.2447,           0.0076597,            0.073712,            0.014104,             0.13463,            0.014294,             0.52258,             0.08159,             0.14881,             0.34307,           0.0035581,            0.086479,           0.0021963
                  22,            0.042411,            0.012902,             0.03911,             0.55534,             0.15395,             0.12583,             0.06014,            0.053795,            0.022532,            0.048045,            0.009307,            0.009307,            0.009307,             0.44936,            0.037025,           0.0049509,           0.0092518,           0.0012791,              0.0102,            0.055862,           0.0020297,            0.004099,              0.1365,           0.0029909,             0.05025,           0.0076153,            0.072442,           0.0030658,             0.11057,            0.081205,             0.16679,             0.10676,           0.0039306,           0.0056871,           0.0012263,             0.68968,             0.10202,            0.015562,            0.020697,           0.0035639,            0.026182,             0.16949,           0.0042595,           0.0088232,             0.35593,           0.0063996,             0.10172,            0.017194,              0.1599,            0.007269,             0.17208,             0.22059,             0.30154,             0.35023,            0.014038,              0.0182,           0.0029153
                  23,            0.042186,            0.013049,            0.038474,             0.62896,              0.1194,             0.10195,            0.050889,            0.056482,            0.022357,            0.055237,            0.009274,            0.009274,            0.009274,             0.25775,           0.0087137,           0.0038662,            0.011109,          0.00093404,            0.022596,            0.098059,           0.0023138,           0.0086633,            0.090416,           0.0046109,            0.017545,           0.0052917,            0.037138,            0.013407,             0.32333,            0.048144,             0.10214,            0.048471,           0.0018849,            0.010624,           0.0025418,             0.41122,            0.024758,            0.010786,            0.055243,           0.0031065,            0.083094,             0.25867,           0.0050145,             0.01236,             0.24477,           0.0085924,            0.037687,            0.012304,            0.077881,            0.021157,             0.51948,             0.12408,             0.16417,             0.12665,           0.0079355,            0.028349,           0.0055313
                  24,            0.042063,            0.012875,            0.038399,             0.53846,             0.14961,             0.12511,            0.060546,            0.049518,            0.021904,            0.050648,            0.009241,            0.009241,            0.009241,             0.40048,             0.01123,           0.0052813,            0.027662,           0.0034671,           0.0059601,            0.043376,           0.0027727,           0.0070991,             0.10965,            0.051276,            0.049265,           0.0074866,            0.022511,            0.060141,             0.17147,            0.084209,             0.17676,            0.074616,           0.0036301,           0.0098729,           0.0037983,             0.64891,            0.025093,             0.01548,             0.11076,           0.0089159,            0.023718,             0.15435,           0.0059959,            0.010849,             0.27268,            0.075454,            0.097615,            0.011774,            0.038846,               0.142,             0.28709,             0.17609,             0.35714,             0.24136,           0.0090397,            0.028735,             0.01052
                  25,            0.041396,            0.012645,            0.037497,             0.56824,             0.14065,             0.11723,            0.064945,            0.052992,            0.023027,            0.047887,            0.009208,            0.009208,            0.009208,             0.42582,            0.027175,            0.005281,            0.019345,          0.00086455,            0.015018,            0.094731,            0.003127,           0.0076443,             0.20118,            0.045732,            0.036439,           0.0096416,            0.054804,           0.0024153,             0.11485,            0.071601,             0.24824,            0.026132,           0.0037497,            0.013577,           0.0014212,             0.67605,            0.075332,            0.013466,            0.057485,           0.0018396,            0.056788,             0.26393,           0.0061501,            0.013751,             0.34167,            0.058814,            0.090074,            0.014391,              0.1281,           0.0059587,             0.18585,             0.16481,             0.32206,            0.063372,           0.0064155,            0.029573,           0.0032064
                  26,            0.041766,            0.012427,            0.036295,             0.55782,             0.15859,             0.14235,            0.072545,            0.053201,            0.023573,            0.047364,            0.009175,            0.009175,            0.009175,             0.37756,            0.040153,            0.006411,             0.10138,           0.0007935,            0.055141,             0.15092,           0.0031695,           0.0068681,             0.15155,            0.010955,            0.084389,           0.0048799,            0.093823,            0.026826,             0.13857,            0.066406,             0.19961,            0.049819,           0.0028812,            0.022766,            0.001125,             0.61252,            0.099921,            0.014602,             0.28769,           0.0016236,             0.14272,             0.37913,           0.0070439,            0.010636,             0.34877,            0.013352,             0.15103,           0.0085387,             0.18338,            0.045701,             0.19231,             0.15324,             0.27945,             0.11293,           0.0097879,            0.074098,           0.0031556
                  27,             0.04135,            0.012471,            0.035691,             0.46576,             0.16477,             0.12097,            0.058825,            0.052394,            0.024654,            0.048993,            0.009142,            0.009142,            0.009142,             0.31146,            0.010804,           0.0061056,            0.017798,           0.0024044,            0.017303,             0.14207,           0.0031291,           0.0059436,             0.14346,            0.044978,            0.032113,           0.0064789,            0.067089,          0.00015655,             0.18027,            0.041846,              0.1395,             0.10709,           0.0015041,            0.011881,          0.00077334,             0.51792,            0.030025,            0.017624,            0.063284,           0.0063178,            0.069458,              0.3487,           0.0074506,           0.0088726,             0.30449,            0.059173,             0.06362,           0.0097718,             0.16719,           0.0006438,             0.28874,             0.10973,              0.2447,             0.30294,            0.004712,            0.033759,           0.0022049
                  28,             0.04188,            0.012199,            0.034701,             0.47879,             0.13252,             0.11643,            0.064309,            0.052216,            0.024636,            0.048476,            0.009109,            0.009109,            0.009109,             0.44972,            0.026044,           0.0069601,            0.017634,           0.0042129,           0.0029436,             0.12669,           0.0043372,           0.0051808,             0.13621,            0.013309,            0.031665,           0.0034726,             0.13622,          0.00083086,             0.12094,                0.06,             0.19047,            0.054044,           0.0020845,             0.01984,           0.0019762,             0.66616,            0.092377,            0.015302,            0.070631,             0.01363,           0.0083298,             0.23193,           0.0089904,           0.0092698,             0.22956,             0.01657,            0.062466,           0.0057552,             0.25326,           0.0014158,             0.20192,             0.14251,             0.29451,             0.17418,           0.0061931,            0.052282,           0.0041619
                  29,            0.041311,            0.012103,            0.033671,             0.44233,             0.12627,             0.10405,            0.056159,            0.055299,            0.026802,              0.0519,            0.009076,            0.009076,            0.009076,             0.44441,           0.0028383,           0.0059401,            0.014601,           0.0030498,           0.0049392,             0.11565,           0.0016409,            0.010325,               0.108,            0.021676,            0.024482,           0.0038085,            0.025778,                   0,            0.085656,            0.023217,             0.26266,            0.067235,          0.00047978,           0.0079242,           0.0011971,             0.70704,           0.0075246,             0.01402,             0.05183,           0.0073507,             0.01954,             0.31124,           0.0035804,            0.014663,             0.25367,             0.05684,            0.047601,           0.0093737,            0.051518,                   0,              0.1327,            0.056094,             0.39355,             0.10955,           0.0014501,            0.036904,           0.0029928
