               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/rov_mAP,   metrics/plant_mAP,metrics/animal_fish_mAP,metrics/animal_starfish_mAP,metrics/animal_shells_mAP,metrics/animal_crabh_mAP,metrics/animal_eel_mAP,metrics/animal_etc_mAP,metrics/trash_clothing_mAP,metrics/trash_pipe_mAP,metrics/trash_bottle_mAP,metrics/trash_bag_mAP,metrics/trash_snack_wrapper_mAP,metrics/trash_can_mAP,metrics/trash_cup_mAP,metrics/trash_container_mAP,metrics/trash_unknown_instance_mAP,metrics/trash_branch_mAP,metrics/trash_wreckage_mAP,metrics/trash_tarp_mAP,metrics/trash_rope_mAP,metrics/trash_net_mAP,  metrics/rov_mAP_50,metrics/plant_mAP_50,metrics/animal_fish_mAP_50,metrics/animal_starfish_mAP_50,metrics/animal_shells_mAP_50,metrics/animal_crabh_mAP_50,metrics/animal_eel_mAP_50,metrics/animal_etc_mAP_50,metrics/trash_clothing_mAP_50,metrics/trash_pipe_mAP_50,metrics/trash_bottle_mAP_50,metrics/trash_bag_mAP_50,metrics/trash_snack_wrapper_mAP_50,metrics/trash_can_mAP_50,metrics/trash_cup_mAP_50,metrics/trash_container_mAP_50,metrics/trash_unknown_instance_mAP_50,metrics/trash_branch_mAP_50,metrics/trash_wreckage_mAP_50,metrics/trash_tarp_mAP_50,metrics/trash_rope_mAP_50,metrics/trash_net_mAP_50
                  20,            0.033438,           0.0064438,            0.018955,             0.20803,            0.058254,            0.033756,            0.014068,            0.073705,            0.034467,             0.10023,            0.009373,            0.009373,            0.009373,           0.0061183,           0.0056053,            0.013675,                   0,          0.00071505,                   0,           0.0088379,           0.0012417,            0.012634,            0.014725,           0.0015887,            0.018488,           0.0013354,            0.010453,          0.00021738,             0.05593,            0.011025,             0.12693,          0.00017039,           0.0013204,            0.015901,           0.0025825,            0.019202,            0.018586,            0.032801,                   0,           0.0007945,                   0,            0.026797,           0.0053122,            0.042648,            0.040054,           0.0039554,            0.056809,           0.0025961,            0.043118,          0.00040514,             0.14163,            0.029108,             0.21809,           0.0017039,           0.0038495,            0.047475,           0.0077107
                  21,            0.033645,           0.0064231,            0.017408,             0.19321,            0.038253,            0.028831,            0.013087,            0.079368,            0.034921,            0.095723,             0.00934,             0.00934,             0.00934,            0.012573,          0.00099362,            0.012293,                   0,                   0,                   0,            0.029815,           0.0014892,           0.0086208,            0.010292,            0.028195,            0.013692,          0.00090319,           0.0057301,                   0,             0.01181,            0.026416,              0.1251,                   0,                   0,                   0,                   0,            0.040108,           0.0041365,            0.026452,                   0,                   0,                   0,            0.073119,           0.0037104,            0.020381,            0.027826,            0.035475,            0.030555,           0.0021061,            0.011449,                   0,            0.057375,            0.058711,             0.24289,                   0,                   0,                   0,                   0
                  22,            0.033467,            0.006412,            0.016738,             0.20985,            0.052561,             0.03258,            0.012325,             0.07731,            0.033511,            0.096366,            0.009307,            0.009307,            0.009307,            0.012407,            0.001428,             0.01469,           0.0010164,          0.00040244,                   0,            0.018068,           0.0036824,           0.0087817,          0.00054534,          0.00082086,            0.034038,           0.0024572,            0.029909,            0.007627,            0.042238,            0.012192,            0.079935,           0.0002302,          0.00059287,          9.2752e-05,                   0,            0.044225,           0.0055105,            0.034002,           0.0028094,           0.0010383,                   0,            0.064723,            0.011904,            0.024805,           0.0025548,           0.0028075,            0.079623,           0.0048372,            0.063812,            0.012433,             0.11432,            0.035945,             0.20765,            0.002302,           0.0012761,          0.00019209,                   0
                  23,             0.03333,           0.0063807,            0.016129,             0.23645,            0.044559,            0.025873,            0.010994,            0.073241,            0.033562,             0.10016,            0.009274,            0.009274,            0.009274,            0.015971,           0.0010395,             0.00772,           0.0002767,          0.00065913,           0.0024983,            0.007677,           0.0011877,            0.015667,            0.011833,          0.00022718,            0.046255,                   0,            0.017458,          0.00016673,            0.015887,             0.01079,            0.079586,           0.0035987,          0.00053271,           0.0013582,           0.0014715,            0.046686,            0.004646,            0.018607,          0.00074564,           0.0012184,           0.0090453,            0.022581,            0.003433,            0.052375,            0.042384,          0.00067583,             0.11218,                   0,            0.041087,          0.00020841,            0.045148,            0.027096,             0.12291,           0.0051376,           0.0013421,           0.0058424,           0.0058634
                  24,            0.032771,            0.006346,            0.016294,            0.011909,              0.1795,            0.015396,           0.0054011,            0.080679,            0.033106,             0.10276,            0.009241,            0.009241,            0.009241,           0.0060025,          0.00083632,           0.0077336,          0.00061889,                   0,          0.00022712,            0.012331,          0.00077933,           0.0038788,           0.0049336,           0.0016513,            0.010716,           0.0020052,             0.01739,          0.00024903,            0.016084,           0.0078753,            0.024019,                   0,          0.00015056,          0.00013746,           0.0012059,            0.019884,           0.0030978,            0.013345,            0.002005,                   0,          0.00075707,              0.0329,           0.0036792,            0.011518,            0.011385,           0.0063527,            0.035015,            0.009455,            0.047388,           0.0010143,             0.04662,            0.027279,             0.06138,                   0,          0.00075281,           0.0004582,           0.0044359
                  25,            0.032473,           0.0062695,            0.014749,             0.27016,            0.027662,            0.034813,            0.015524,            0.073783,            0.038883,             0.10462,            0.009208,            0.009208,            0.009208,            0.043273,           0.0034719,           0.0069028,           0.0002535,          0.00055783,          0.00096076,            0.032857,            0.004836,            0.010941,             0.03127,            0.021619,             0.02469,                   0,            0.037469,                   0,            0.017527,            0.021079,            0.081049,                   0,          0.00039329,           0.0018592,          0.00051453,            0.080572,            0.012048,            0.018003,          0.00072272,          0.00092972,           0.0029032,            0.077019,            0.020163,            0.020312,            0.053747,            0.037681,            0.043584,                   0,            0.092604,                   0,            0.041727,             0.04509,             0.21093,                   0,          0.00078657,           0.0050836,           0.0019747
                  26,            0.032687,           0.0063133,            0.014908,              0.2764,            0.034188,             0.02771,           0.0098594,            0.075959,            0.037117,            0.099132,            0.009175,            0.009175,            0.009175,            0.010984,           0.0032401,            0.006061,          0.00057615,          0.00035601,          0.00047552,            0.026405,          0.00048541,            0.042706,            0.027576,           0.0023465,            0.016713,          0.00039252,           0.0026848,                   0,            0.023401,            0.019801,            0.029315,                   0,            0.000411,           0.0021989,          0.00077922,            0.034009,            0.010464,            0.016905,           0.0018822,           0.0011867,           0.0035436,            0.074793,          0.00097082,            0.074383,             0.11307,           0.0032558,            0.050651,          0.00078504,           0.0070776,                   0,             0.07131,            0.049608,             0.08326,                   0,          0.00082199,           0.0086316,           0.0029996
                  27,            0.032292,            0.006215,            0.014482,             0.30231,            0.057311,            0.055392,            0.023436,            0.073465,            0.037469,             0.10204,            0.009142,            0.009142,            0.009142,            0.016754,            0.003791,            0.028409,          0.00018441,          0.00031155,           0.0064896,            0.042178,            0.003902,            0.040403,            0.022268,            0.028924,            0.032794,           0.0038055,            0.077959,           0.0022418,            0.037535,            0.012166,             0.15237,          7.9712e-05,          0.00053198,           0.0023258,          0.00016289,            0.035264,            0.017014,            0.059985,          0.00046102,          0.00077886,            0.015122,             0.11605,            0.014328,             0.11829,            0.053907,            0.037928,            0.079143,           0.0061533,             0.16676,            0.004054,             0.10649,            0.024834,             0.35217,          0.00079712,          0.00075998,           0.0077841,          0.00054737
                  28,            0.032297,           0.0062005,             0.01395,             0.21548,            0.055611,            0.040423,            0.016939,            0.075608,             0.03588,            0.098837,            0.009109,            0.009109,            0.009109,            0.024711,           0.0042828,            0.033847,          0.00022497,                   0,           0.0008037,            0.028742,          0.00058783,            0.047387,            0.020885,          0.00056314,             0.05392,           0.0014303,            0.046082,                   0,            0.033196,            0.022051,            0.035593,           0.0012208,           0.0005414,           0.0015942,               0.015,            0.076601,            0.012856,               0.101,           0.0011291,                   0,           0.0024893,            0.063425,           0.0016854,            0.078316,             0.04407,           0.0012981,             0.10066,           0.0027381,             0.10091,                   0,            0.073995,            0.050206,              0.1213,           0.0065758,           0.0018048,            0.003254,            0.044985
                  29,            0.031884,           0.0061274,            0.013894,             0.11039,            0.077899,            0.021266,           0.0097149,            0.080625,            0.035751,            0.099849,            0.009076,            0.009076,            0.009076,           0.0071441,          0.00064263,           0.0055569,           0.0011523,          0.00028761,           0.0016429,             0.03912,                   0,           0.0033719,           0.0012979,                   0,            0.015609,            0.013526,            0.054215,           0.0030083,            0.030524,            0.013627,            0.022721,                   0,                   0,                   0,          0.00028161,            0.015467,           0.0032355,            0.015457,           0.0024895,           0.0014381,           0.0032858,             0.09169,                   0,            0.008461,           0.0056078,                   0,            0.029689,            0.021254,             0.10983,           0.0058512,            0.061732,            0.041149,            0.049805,                   0,                   0,                   0,           0.0014081
