               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2,     metrics/rov_mAP,   metrics/plant_mAP,metrics/animal_fish_mAP,metrics/animal_starfish_mAP,metrics/animal_shells_mAP,metrics/animal_crabh_mAP,metrics/animal_eel_mAP,metrics/animal_etc_mAP,metrics/trash_clothing_mAP,metrics/trash_pipe_mAP,metrics/trash_bottle_mAP,metrics/trash_bag_mAP,metrics/trash_snack_wrapper_mAP,metrics/trash_can_mAP,metrics/trash_cup_mAP,metrics/trash_container_mAP,metrics/trash_unknown_instance_mAP,metrics/trash_branch_mAP,metrics/trash_wreckage_mAP,metrics/trash_tarp_mAP,metrics/trash_rope_mAP,metrics/trash_net_mAP,  metrics/rov_mAP_50,metrics/plant_mAP_50,metrics/animal_fish_mAP_50,metrics/animal_starfish_mAP_50,metrics/animal_shells_mAP_50,metrics/animal_crabh_mAP_50,metrics/animal_eel_mAP_50,metrics/animal_etc_mAP_50,metrics/trash_clothing_mAP_50,metrics/trash_pipe_mAP_50,metrics/trash_bottle_mAP_50,metrics/trash_bag_mAP_50,metrics/trash_snack_wrapper_mAP_50,metrics/trash_can_mAP_50,metrics/trash_cup_mAP_50,metrics/trash_container_mAP_50,metrics/trash_unknown_instance_mAP_50,metrics/trash_branch_mAP_50,metrics/trash_wreckage_mAP_50,metrics/trash_tarp_mAP_50,metrics/trash_rope_mAP_50,metrics/trash_net_mAP_50
                  20,            0.040866,            0.010446,            0.029593,             0.36242,             0.19851,             0.19495,             0.10214,            0.051977,             0.02293,            0.044312,            0.009373,            0.009373,            0.009373,              0.4118,            0.014399,             0.02789,            0.055118,           0.0099804,            0.016952,             0.14679,           0.0058049,            0.043732,            0.029678,           0.0081868,            0.081573,           0.0082274,             0.30851,            0.012745,             0.36254,            0.077243,             0.31176,             0.28875,            0.015882,           0.0023507,           0.0070862,             0.68467,            0.051729,            0.068136,              0.1554,            0.026669,            0.050742,             0.39214,            0.015086,            0.096068,            0.082251,            0.016546,             0.25194,            0.020638,             0.50279,            0.044569,              0.4994,             0.20808,             0.50256,             0.47409,             0.11993,           0.0052416,            0.020309
                  21,            0.040779,            0.010228,            0.028177,             0.36788,             0.22008,             0.18294,            0.087305,            0.052512,            0.023398,            0.041327,             0.00934,             0.00934,             0.00934,             0.31509,            0.021738,            0.085923,            0.062686,           0.0073411,            0.060242,            0.092051,            0.019122,            0.019866,             0.10453,            0.025116,            0.067177,            0.031737,             0.20098,            0.020421,              0.2215,            0.097748,             0.26948,             0.17515,          0.00055874,           0.0088321,            0.013416,             0.53691,            0.083659,             0.21105,             0.18554,            0.032293,             0.20493,             0.20839,             0.04136,            0.036965,             0.21179,            0.085372,             0.14332,            0.053409,              0.4362,              0.1405,             0.37738,             0.22688,              0.4956,             0.26277,           0.0015711,            0.019507,            0.029211
                  22,            0.040417,            0.010297,            0.027726,             0.46675,             0.19534,             0.19422,            0.098446,            0.052964,            0.023079,            0.043313,            0.009307,            0.009307,            0.009307,             0.33159,            0.081179,            0.031998,            0.013185,            0.010842,            0.022587,             0.14634,           0.0078879,            0.019699,            0.077973,            0.023392,             0.17119,             0.07834,             0.20727,            0.092105,             0.36863,            0.096926,             0.32293,            0.040601,           0.0097397,           0.0072149,           0.0041935,             0.62299,             0.26304,            0.080586,            0.060643,            0.038866,             0.10167,             0.36767,            0.029301,            0.030558,             0.12807,            0.034415,             0.29329,             0.10412,             0.37641,             0.23863,              0.5858,              0.2448,             0.55019,             0.07185,            0.020332,            0.018467,            0.011045
                  23,            0.040291,            0.010079,            0.026287,             0.43669,             0.22944,             0.22734,             0.11215,            0.055985,            0.022116,            0.044935,            0.009274,            0.009274,            0.009274,             0.31334,            0.025603,            0.037123,            0.018375,           0.0024454,             0.07953,             0.13008,             0.10267,             0.01877,             0.15061,            0.062024,             0.13218,             0.16186,             0.18567,             0.02183,             0.38361,            0.083291,             0.38307,             0.12458,             0.01208,            0.029716,           0.0088875,             0.61559,             0.10901,            0.081588,            0.070951,           0.0064883,             0.22783,             0.38282,             0.22118,             0.03784,             0.31329,            0.093273,              0.2766,             0.22503,             0.38867,            0.075022,             0.61717,             0.22633,             0.67745,             0.23822,            0.056012,            0.042037,             0.01905
                  24,            0.040287,            0.010075,            0.025893,             0.36637,              0.2442,             0.24335,             0.12643,            0.053519,            0.021183,            0.038641,            0.009241,            0.009241,            0.009241,             0.43762,             0.10461,            0.095149,           0.0089464,           0.0032152,            0.053419,             0.11505,            0.021214,            0.020299,             0.17646,            0.062456,             0.16129,              0.1149,             0.15462,             0.12171,             0.36651,            0.078981,             0.42105,             0.17756,            0.042398,             0.02727,            0.016717,             0.71671,             0.29572,             0.21323,            0.029222,           0.0073058,             0.17441,             0.29176,             0.04959,            0.031618,             0.30901,            0.088572,             0.29997,             0.14636,             0.42695,             0.18822,             0.64638,             0.19679,              0.6501,             0.39067,             0.10361,            0.054157,            0.043287
                  25,             0.03972,           0.0099968,            0.024898,             0.42222,             0.27148,             0.25032,             0.12488,            0.052556,            0.021718,            0.040879,            0.009208,            0.009208,            0.009208,             0.31807,            0.036194,            0.090992,            0.039831,            0.003842,            0.031986,            0.095696,            0.049601,            0.016913,             0.28479,             0.04391,             0.18504,             0.12599,             0.20144,            0.086606,             0.33085,            0.089037,             0.36749,             0.26541,            0.017472,            0.061456,           0.0048277,             0.53372,             0.13408,             0.22775,             0.10804,            0.010394,            0.092668,              0.2559,             0.11346,            0.029461,             0.49381,            0.084278,             0.37471,             0.16068,               0.403,             0.27957,              0.6345,             0.24113,             0.60672,             0.53316,             0.02842,             0.14441,            0.017115
                  26,            0.038887,            0.009997,            0.024387,             0.47075,             0.27565,             0.28566,             0.14958,            0.053414,            0.023893,             0.03466,            0.009175,            0.009175,            0.009175,             0.20112,             0.09245,            0.065683,             0.03348,            0.004406,            0.053204,             0.10787,            0.015327,            0.027682,             0.25352,            0.016364,             0.19185,             0.20037,             0.29412,              0.3403,             0.45345,             0.14186,             0.44388,             0.22035,             0.09801,            0.013663,            0.021889,             0.52427,             0.32865,             0.23091,             0.12318,            0.011905,             0.17842,             0.27116,            0.061844,             0.05515,             0.44457,            0.019308,             0.32668,             0.27026,             0.52749,              0.5602,             0.68618,             0.33912,             0.65931,             0.33989,             0.24684,            0.027667,            0.051583
                  27,             0.04002,           0.0099137,            0.023284,             0.40461,              0.2247,             0.23856,             0.12713,            0.053206,            0.023978,            0.041861,            0.009142,            0.009142,            0.009142,             0.29607,             0.02485,            0.038352,            0.018902,           0.0033933,            0.074433,             0.09034,             0.04844,            0.012943,             0.30314,             0.03188,             0.22793,             0.10159,             0.18516,             0.19068,              0.3628,             0.10676,             0.41757,             0.11648,             0.10878,           0.0098281,            0.026491,             0.54515,            0.076093,             0.09368,            0.035111,           0.0078597,             0.20685,             0.21149,            0.099007,            0.018926,              0.5016,            0.035491,             0.42839,              0.1497,             0.37705,             0.42754,             0.57932,             0.23584,              0.5546,             0.29679,              0.2533,            0.024343,            0.090302
                  28,            0.039464,           0.0098055,            0.022906,              0.4128,             0.25267,             0.24812,             0.12554,            0.050921,             0.02181,            0.040012,            0.009109,            0.009109,            0.009109,             0.37938,            0.041065,             0.13422,            0.020695,           0.0037727,            0.028064,             0.15951,             0.05974,            0.013176,             0.20892,             0.20082,              0.1541,             0.13359,             0.23098,             0.10824,             0.27712,             0.10866,             0.37496,            0.045802,            0.035638,            0.009469,            0.033852,             0.64166,             0.10547,             0.29992,            0.089291,            0.010589,             0.11237,             0.42595,             0.13606,            0.024826,             0.46086,             0.31445,             0.27807,             0.16933,             0.46673,             0.17764,             0.43116,             0.27256,             0.57976,             0.14869,             0.20331,            0.021322,            0.088682
                  29,            0.039723,           0.0098685,            0.021618,             0.56529,             0.23882,             0.24558,             0.11771,             0.05542,            0.022728,            0.039696,            0.009076,            0.009076,            0.009076,             0.32649,            0.040336,            0.056668,            0.024273,           0.0023548,             0.08828,             0.13481,            0.062517,           0.0053405,             0.24022,            0.010087,             0.10982,            0.088188,             0.13394,             0.15763,             0.29926,            0.087141,             0.39771,             0.20743,            0.061743,           0.0061576,            0.049322,             0.60359,             0.15099,             0.16556,              0.0715,           0.0062533,             0.19557,             0.35336,              0.1557,            0.010226,              0.4672,            0.014698,             0.25455,             0.17521,             0.35471,             0.27003,              0.5552,             0.19518,             0.62709,             0.43387,             0.12057,            0.021754,             0.19999
